,dissatisfied,satisfied,accuracy,macro avg,weighted avg
precision,0.9325393217565233,0.9326174914410209,0.9325814431260744,0.9325784065987721,0.932581036726306
recall,0.9221433066618718,0.9417033312382149,0.9325814431260744,0.9319233189500433,0.9325814431260744
f1-score,0.9273121779224301,0.9371383893666927,0.9325814431260744,0.9322252836445615,0.9325559001673076
support,11123.0,12728.0,0.9325814431260744,23851.0,23851.0
